Opcode,Without prefix,CB prefix,ED prefix
00,"NOP","RLC B",""
01,"LD BC, ????","RLC C",""
02,"LD (BC), A","RLC D",""
03,"INC BC","RLC E",""
04,"INC B","RLC H",""
05,"DEC B","RLC L",""
06,"LD B, ??","RLC (HL)",""
07,"RLCA","RLC A",""
08,"EX AF, AF'","RRC B",""
09,"ADD HL, BC","RRC C",""
0A,"LD A, (BC)","RRC D",""
0B,"DEC BC","RRC E",""
0C,"INC C","RRC H",""
0D,"DEC C","RRC L",""
0E,"LD C, ??","RRC (HL)",""
0F,"RRCA","RRC A",""
10,"DJNZ ??","RL B",""
11,"LD DE, ????","RL C",""
12,"LD (DE), A","RL D",""
13,"INC DE","RL E",""
14,"INC D","RL H",""
15,"DEC D","RL L",""
16,"LD D, ??","RL (HL)",""
17,"RLA","RL A",""
18,"JR ??","RR B",""
19,"ADD HL, DE","RR C",""
1A,"LD A, (DE)","RR D",""
1B,"DEC DE","RR E",""
1C,"INC E","RR H",""
1D,"DEC E","RR L",""
1E,"LD E, ??","RR (HL)",""
1F,"RRA","RR A",""
20,"JR NZ, ??","SLA B",""
21,"LD HL, ????","SLA C",""
22,"LD (????), HL","SLA D",""
23,"INC HL","SLA E",""
24,"INC H","SLA H",""
25,"DEC H","SLA L",""
26,"LD H, ??","SLA (HL)",""
27,"DAA","SLA A",""
28,"JR Z, ??","SRA B",""
29,"ADD HL, HL","SRA C",""
2A,"LD HL, (????)","SRA D",""
2B,"DEC HL","SRA E",""
2C,"INC L","SRA H",""
2D,"DEC L","SRA L",""
2E,"LD L, ??","SRA (HL)",""
2F,"CPL","SRA A",""
30,"JR NC, ??","SLS B",""
31,"LD SP, ????","SLS C",""
32,"LD (????), A","SLS D",""
33,"INC SP","SLS E",""
34,"INC (HL)","SLS H",""
35,"DEC (HL)","SLS L",""
36,"LD (HL), ??","SLS (HL)",""
37,"SCF","SLS A",""
38,"JR C, ??","SRL B",""
39,"ADD HL, SP","SRL C",""
3A,"LD A, (????)","SRL D",""
3B,"DEC SP","SRL E",""
3C,"INC A","SRL H",""
3D,"DEC A","SRL L",""
3E,"LD A, ??","SRL (HL)",""
3F,"CCF","SRL A",""
40,"LD B, B","BIT 0, B","IN B, (C)"
41,"LD B, C","BIT 0, C","OUT (C), B"
42,"LD B, D","BIT 0, D","SBC HL, BC"
43,"LD B, E","BIT 0, E","LD (????), BC"
44,"LD B, H","BIT 0, H","NEG"
45,"LD B, L","BIT 0, L","RETN"
46,"LD B, (HL)","BIT 0, (HL)","IM 0"
47,"LD B, A","BIT 0, A","LD I, A"
48,"LD C, B","BIT 1, B","IN C, (C)"
49,"LD C, C","BIT 1, C","OUT (C), C"
4A,"LD C, D","BIT 1, D","ADC HL, BC"
4B,"LD C, E","BIT 1, E","LD BC, (????)"
4C,"LD C, H","BIT 1, H","MLT BC"
4D,"LD C, L","BIT 1, L","RETI"
4E,"LD C, (HL)","BIT 1, (HL)",""
4F,"LD C, A","BIT 1, A","LD R, A"
50,"LD D, B","BIT 2, B","IN D, (C)"
51,"LD D, C","BIT 2, C","OUT (C), D"
52,"LD D, D","BIT 2, D","SBC HL, DE"
53,"LD D, E","BIT 2, E","LD (????), DE"
54,"LD D, H","BIT 2, H",""
55,"LD D, L","BIT 2, L",""
56,"LD D, (HL)","BIT 2, (HL)","IM 1"
57,"LD D, A","BIT 2, A","LD A, I"
58,"LD E, B","BIT 3, B","IN E, (C)"
59,"LD E, C","BIT 3, C","OUT (C), E"
5A,"LD E, D","BIT 3, D","ADC HL, DE"
5B,"LD E, E","BIT 3, E","LD DE, (????)"
5C,"LD E, H","BIT 3, H","MLT DE"
5D,"LD E, L","BIT 3, L",""
5E,"LD E, (HL)","BIT 3, (HL)","IM 2"
5F,"LD E, A","BIT 3, A","LD A, R"
60,"LD H, B","BIT 4, B","IN H, (C)"
61,"LD H, C","BIT 4, C","OUT (C), H"
62,"LD H, D","BIT 4, D","SBC HL, HL"
63,"LD H, E","BIT 4, E","LD (????), HL"
64,"LD H, H","BIT 4, H",""
65,"LD H, L","BIT 4, L",""
66,"LD H, (HL)","BIT 4, (HL)",""
67,"LD H, A","BIT 4, A","RRD"
68,"LD L, B","BIT 5, B","IN L, (C)"
69,"LD L, C","BIT 5, C","OUT (C), L"
